p1_height,p2_height,p1_growth_days,p2_growth_days,p1_leaf_shape,p2_leaf_shape,p1_flower_color,p2_flower_color,p1_climate,p2_climate,p1_resistance,p2_resistance,p1_yield,p2_yield,same_family,target_height,target_growth_days,target_leaf_shape,target_flower_color,target_climate,target_resistance,target_yield_level
80,300,100,110,0,3,0,0,0,4,2,3,1,3,0,194.4,113.1,Intermediate,White,Tropical,Very High,High
300,80,110,100,3,0,0,0,4,0,3,2,3,1,0,193.2,106.3,Intermediate,White,Arid,Very High,High
80,300,100,110,0,3,0,0,0,4,2,3,1,3,0,183.8,104.7,Intermediate,White,Arid,Very High,High
300,80,110,100,3,0,0,0,4,0,3,2,3,1,0,183.5,114.2,Intermediate,White,Tropical,Very High,High
80,300,100,110,0,3,0,0,0,4,2,3,1,3,0,187.0,106.3,Linear,White,Tropical,Very High,High
300,80,110,100,3,0,0,0,4,0,3,2,3,1,0,190.5,113.8,Intermediate,White,Tropical,Very High,High
80,300,100,110,0,3,0,0,0,4,2,3,1,3,0,200.0,104.3,Ovate,White,Tropical,Very High,High
300,80,110,100,3,0,0,0,4,0,3,2,3,1,0,187.8,96.5,Linear,White,Tropical,Very High,High
80,300,100,110,0,3,0,0,0,4,2,3,1,3,0,184.9,106.6,Linear,White,Arid,Very High,High
300,80,110,100,3,0,0,0,4,0,3,2,3,1,0,195.9,109.5,Ovate,White,Arid,Very High,High
80,300,100,110,0,3,0,0,0,4,2,3,1,3,0,183.8,98.2,Ovate,White,Arid,Very High,High
300,80,110,100,3,0,0,0,4,0,3,2,3,1,0,197.4,101.9,Ovate,White,Arid,Very High,High
80,300,100,110,0,3,0,0,0,4,2,3,1,3,0,202.1,104.8,Intermediate,White,Tropical,Very High,High
300,80,110,100,3,0,0,0,4,0,3,2,3,1,0,189.4,93.9,Ovate,White,Arid,Very High,High
80,250,100,90,0,3,0,2,0,5,2,3,1,1,0,173.4,98.4,Intermediate,Intermediate,Tropical,Very High,Moderate
250,80,90,100,3,0,2,0,5,0,3,2,1,1,0,167.4,91.3,Linear,Purple,Semi-Arid,Very High,Moderate
80,250,100,90,0,3,0,2,0,5,2,3,1,1,0,151.8,97.3,Intermediate,Intermediate,Tropical,Very High,Moderate
250,80,90,100,3,0,2,0,5,0,3,2,1,1,0,159.1,95.6,Intermediate,White,Tropical,Very High,Moderate
80,250,100,90,0,3,0,2,0,5,2,3,1,1,0,181.6,97.3,Linear,Intermediate,Tropical,Very High,Moderate
250,80,90,100,3,0,2,0,5,0,3,2,1,1,0,161.9,89.4,Intermediate,Intermediate,Semi-Arid,Very High,Moderate
80,250,100,90,0,3,0,2,0,5,2,3,1,1,0,170.6,101.8,Linear,Intermediate,Tropical,Very High,Moderate
250,80,90,100,3,0,2,0,5,0,3,2,1,1,0,165.0,91.1,Ovate,Intermediate,Semi-Arid,Very High,Moderate
80,250,100,90,0,3,0,2,0,5,2,3,1,1,0,156.8,97.5,Ovate,Intermediate,Tropical,Very High,Moderate
250,80,90,100,3,0,2,0,5,0,3,2,1,1,0,163.7,104.8,Ovate,Intermediate,Tropical,Very High,Moderate
80,250,100,90,0,3,0,2,0,5,2,3,1,1,0,161.2,96.1,Intermediate,Purple,Semi-Arid,Very High,Moderate
250,80,90,100,3,0,2,0,5,0,3,2,1,1,0,164.2,105.4,Linear,Purple,Tropical,Very High,Moderate
80,250,100,90,0,3,0,2,0,5,2,3,1,1,0,170.8,102.2,Linear,Purple,Semi-Arid,Very High,Moderate
250,80,90,100,3,0,2,0,5,0,3,2,1,1,0,165.1,94.4,Ovate,Purple,Semi-Arid,Very High,Moderate
80,250,100,90,0,3,0,2,0,5,2,3,1,1,0,165.6,95.8,Intermediate,Intermediate,Tropical,Very High,Moderate
250,80,90,100,3,0,2,0,5,0,3,2,1,1,0,158.8,87.8,Ovate,Purple,Semi-Arid,Very High,Moderate
80,100,100,65,0,7,0,1,0,0,2,2,1,3,1,91.8,87.6,Intermediate,Intermediate,Tropical,High,High
100,80,65,100,7,0,1,0,0,0,2,2,3,1,1,89.0,88.4,Intermediate,Intermediate,Tropical,High,High
80,100,100,65,0,7,0,1,0,0,2,2,1,3,1,102.0,85.1,Pinnate,Yellow,Tropical,High,High
100,80,65,100,7,0,1,0,0,0,2,2,3,1,1,88.4,85.1,Intermediate,Intermediate,Tropical,High,High
80,100,100,65,0,7,0,1,0,0,2,2,1,3,1,92.6,83.6,Pinnate,Yellow,Tropical,High,High
100,80,65,100,7,0,1,0,0,0,2,2,3,1,1,83.2,85.5,Intermediate,Intermediate,Tropical,High,High
80,100,100,65,0,7,0,1,0,0,2,2,1,3,1,95.0,83.3,Ovate,Yellow,Tropical,High,High
100,80,65,100,7,0,1,0,0,0,2,2,3,1,1,84.6,80.5,Intermediate,Yellow,Tropical,High,High
80,100,100,65,0,7,0,1,0,0,2,2,1,3,1,89.5,83.5,Intermediate,Intermediate,Tropical,High,High
100,80,65,100,7,0,1,0,0,0,2,2,3,1,1,88.0,91.7,Intermediate,Yellow,Tropical,High,High
80,100,100,65,0,7,0,1,0,0,2,2,1,3,1,95.0,80.3,Intermediate,White,Tropical,High,High
100,80,65,100,7,0,1,0,0,0,2,2,3,1,1,90.0,77.7,Pinnate,White,Tropical,High,High
80,100,100,65,0,7,0,1,0,0,2,2,1,3,1,81.7,87.3,Ovate,White,Tropical,High,High
100,80,65,100,7,0,1,0,0,0,2,2,3,1,1,90.0,81.4,Intermediate,Intermediate,Tropical,High,High
80,100,100,65,0,7,0,1,0,0,2,2,1,3,1,88.8,81.2,Pinnate,Intermediate,Tropical,High,High
100,80,65,100,7,0,1,0,0,0,2,2,3,1,1,92.7,87.3,Ovate,White,Tropical,High,High
80,30,100,75,0,7,0,0,0,6,2,1,1,3,0,52.3,87.7,Ovate,White,Cool Temperate,Very High,High
30,80,75,100,7,0,0,0,6,0,1,2,3,1,0,55.9,90.0,Intermediate,White,Tropical,Very High,High
80,30,100,75,0,7,0,0,0,6,2,1,1,3,0,55.8,87.7,Intermediate,White,Cool Temperate,Very High,High
30,80,75,100,7,0,0,0,6,0,1,2,3,1,0,51.6,92.6,Intermediate,White,Cool Temperate,Very High,High
80,30,100,75,0,7,0,0,0,6,2,1,1,3,0,54.8,87.5,Intermediate,White,Cool Temperate,Very High,High
30,80,75,100,7,0,0,0,6,0,1,2,3,1,0,57.7,87.2,Pinnate,White,Tropical,Very High,High
80,30,100,75,0,7,0,0,0,6,2,1,1,3,0,55.1,79.9,Pinnate,White,Tropical,Very High,High
30,80,75,100,7,0,0,0,6,0,1,2,3,1,0,55.9,95.1,Ovate,White,Cool Temperate,Very High,High
80,30,100,75,0,7,0,0,0,6,2,1,1,3,0,56.4,93.7,Intermediate,White,Tropical,Very High,High
30,80,75,100,7,0,0,0,6,0,1,2,3,1,0,51.8,89.4,Ovate,White,Tropical,Very High,High
80,30,100,75,0,7,0,0,0,6,2,1,1,3,0,55.7,94.9,Intermediate,White,Cool Temperate,Very High,High
30,80,75,100,7,0,0,0,6,0,1,2,3,1,0,54.1,82.4,Intermediate,White,Cool Temperate,Very High,High
80,30,100,75,0,7,0,0,0,6,2,1,1,3,0,53.7,86.8,Pinnate,White,Cool Temperate,Very High,High
30,80,75,100,7,0,0,0,6,0,1,2,3,1,0,55.9,93.9,Intermediate,White,Tropical,Very High,High
80,30,100,75,0,7,0,0,0,6,2,1,1,3,0,52.9,77.6,Intermediate,White,Cool Temperate,Very High,High
30,80,75,100,7,0,0,0,6,0,1,2,3,1,0,55.2,90.2,Ovate,White,Tropical,Very High,High
250,200,90,75,3,3,1,1,2,2,1,1,4,3,1,220.6,77.0,Linear,Yellow,Temperate,Moderate,Very High
200,250,75,90,3,3,1,1,2,2,1,1,3,4,1,209.1,90.0,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,75,3,3,1,1,2,2,1,1,4,3,1,229.4,82.0,Linear,Yellow,Temperate,Moderate,Very High
200,250,75,90,3,3,1,1,2,2,1,1,3,4,1,221.5,77.7,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,75,3,3,1,1,2,2,1,1,4,3,1,230.5,83.4,Linear,Yellow,Temperate,Moderate,Very High
200,250,75,90,3,3,1,1,2,2,1,1,3,4,1,223.4,86.7,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,75,3,3,1,1,2,2,1,1,4,3,1,212.3,80.1,Linear,Yellow,Temperate,Moderate,Very High
200,250,75,90,3,3,1,1,2,2,1,1,3,4,1,230.5,84.9,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,75,3,3,1,1,2,2,1,1,4,3,1,235.0,85.4,Linear,Yellow,Temperate,Moderate,Very High
200,250,75,90,3,3,1,1,2,2,1,1,3,4,1,242.1,79.3,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,75,3,3,1,1,2,2,1,1,4,3,1,238.5,91.0,Linear,Yellow,Temperate,Moderate,Very High
200,250,75,90,3,3,1,1,2,2,1,1,3,4,1,228.2,88.3,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,75,3,3,1,1,2,2,1,1,4,3,1,226.3,83.3,Linear,Yellow,Temperate,Moderate,Very High
200,250,75,90,3,3,1,1,2,2,1,1,3,4,1,214.1,83.3,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,75,3,3,1,1,2,2,1,1,4,3,1,226.2,88.5,Linear,Yellow,Temperate,Moderate,Very High
200,250,75,90,3,3,1,1,2,2,1,1,3,4,1,234.9,85.2,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,120,3,7,1,3,2,2,1,1,4,1,0,215.6,109.7,Linear,Intermediate,Temperate,Moderate,High
200,250,120,90,7,3,3,1,2,2,1,1,1,4,0,219.9,106.2,Intermediate,Pink,Temperate,Moderate,High
250,200,90,120,3,7,1,3,2,2,1,1,4,1,0,219.4,104.2,Linear,Intermediate,Temperate,Moderate,High
200,250,120,90,7,3,3,1,2,2,1,1,1,4,0,225.2,91.9,Intermediate,Intermediate,Temperate,Moderate,High
250,200,90,120,3,7,1,3,2,2,1,1,4,1,0,226.6,107.4,Pinnate,Intermediate,Temperate,Moderate,High
200,250,120,90,7,3,3,1,2,2,1,1,1,4,0,221.3,114.1,Intermediate,Intermediate,Temperate,Moderate,High
250,200,90,120,3,7,1,3,2,2,1,1,4,1,0,225.5,102.6,Intermediate,Pink,Temperate,Moderate,High
200,250,120,90,7,3,3,1,2,2,1,1,1,4,0,228.3,102.1,Intermediate,Yellow,Temperate,Moderate,High
250,200,90,120,3,7,1,3,2,2,1,1,4,1,0,217.4,97.2,Intermediate,Intermediate,Temperate,Moderate,High
200,250,120,90,7,3,3,1,2,2,1,1,1,4,0,207.1,110.6,Pinnate,Yellow,Temperate,Moderate,High
250,200,90,120,3,7,1,3,2,2,1,1,4,1,0,232.1,106.1,Linear,Pink,Temperate,Moderate,High
200,250,120,90,7,3,3,1,2,2,1,1,1,4,0,221.8,108.1,Intermediate,Intermediate,Temperate,Moderate,High
250,200,90,120,3,7,1,3,2,2,1,1,4,1,0,233.0,104.6,Linear,Yellow,Temperate,Moderate,High
200,250,120,90,7,3,3,1,2,2,1,1,1,4,0,228.9,101.3,Intermediate,Intermediate,Temperate,Moderate,High
250,200,90,120,3,7,1,3,2,2,1,1,4,1,0,230.2,98.0,Linear,Intermediate,Temperate,Moderate,High
200,250,120,90,7,3,3,1,2,2,1,1,1,4,0,223.7,111.1,Intermediate,Intermediate,Temperate,Moderate,High
250,300,90,150,3,7,1,3,2,6,1,2,4,1,0,289.9,115.9,Intermediate,Intermediate,Cool Temperate,Very High,High
300,250,150,90,7,3,3,1,6,2,2,1,1,4,0,277.7,128.2,Linear,Yellow,Cool Temperate,Very High,High
250,300,90,150,3,7,1,3,2,6,1,2,4,1,0,291.3,123.6,Pinnate,Intermediate,Temperate,Very High,High
300,250,150,90,7,3,3,1,6,2,2,1,1,4,0,280.6,121.9,Pinnate,Pink,Temperate,Very High,High
250,300,90,150,3,7,1,3,2,6,1,2,4,1,0,252.7,118.7,Intermediate,Intermediate,Temperate,Very High,High
300,250,150,90,7,3,3,1,6,2,2,1,1,4,0,272.3,110.2,Intermediate,Pink,Cool Temperate,Very High,High
250,300,90,150,3,7,1,3,2,6,1,2,4,1,0,278.0,114.7,Intermediate,Intermediate,Temperate,Very High,High
300,250,150,90,7,3,3,1,6,2,2,1,1,4,0,277.9,120.0,Linear,Intermediate,Temperate,Very High,High
250,300,90,150,3,7,1,3,2,6,1,2,4,1,0,260.2,117.3,Pinnate,Pink,Cool Temperate,Very High,High
300,250,150,90,7,3,3,1,6,2,2,1,1,4,0,262.1,123.5,Intermediate,Intermediate,Cool Temperate,Very High,High
250,300,90,150,3,7,1,3,2,6,1,2,4,1,0,265.0,116.5,Intermediate,Yellow,Cool Temperate,Very High,High
300,250,150,90,7,3,3,1,6,2,2,1,1,4,0,291.8,117.1,Intermediate,Intermediate,Temperate,Very High,High
250,300,90,150,3,7,1,3,2,6,1,2,4,1,0,287.3,136.5,Linear,Intermediate,Cool Temperate,Very High,High
300,250,150,90,7,3,3,1,6,2,2,1,1,4,0,279.6,122.5,Intermediate,Yellow,Temperate,Very High,High
250,300,90,150,3,7,1,3,2,6,1,2,4,1,0,269.1,111.2,Linear,Yellow,Cool Temperate,Very High,High
300,250,150,90,7,3,3,1,6,2,2,1,1,4,0,273.5,127.5,Pinnate,Yellow,Cool Temperate,Very High,High
250,300,90,80,3,5,1,1,2,2,1,2,4,4,0,289.3,91.8,Intermediate,Yellow,Temperate,Very High,Very High
300,250,80,90,5,3,1,1,2,2,2,1,4,4,0,276.6,81.3,Linear,Yellow,Temperate,Very High,Very High
250,300,90,80,3,5,1,1,2,2,1,2,4,4,0,276.1,84.4,Linear,Yellow,Temperate,Very High,Very High
300,250,80,90,5,3,1,1,2,2,2,1,4,4,0,279.9,83.6,Linear,Yellow,Temperate,Very High,Very High
250,300,90,80,3,5,1,1,2,2,1,2,4,4,0,276.2,83.0,Cordate,Yellow,Temperate,Very High,Very High
300,250,80,90,5,3,1,1,2,2,2,1,4,4,0,274.4,82.9,Linear,Yellow,Temperate,Very High,Very High
250,300,90,80,3,5,1,1,2,2,1,2,4,4,0,272.0,79.8,Cordate,Yellow,Temperate,Very High,Very High
300,250,80,90,5,3,1,1,2,2,2,1,4,4,0,283.2,81.2,Linear,Yellow,Temperate,Very High,Very High
250,300,90,80,3,5,1,1,2,2,1,2,4,4,0,268.8,79.7,Cordate,Yellow,Temperate,Very High,Very High
300,250,80,90,5,3,1,1,2,2,2,1,4,4,0,255.8,74.4,Linear,Yellow,Temperate,Very High,Very High
250,300,90,80,3,5,1,1,2,2,1,2,4,4,0,268.7,90.5,Intermediate,Yellow,Temperate,Very High,Very High
300,250,80,90,5,3,1,1,2,2,2,1,4,4,0,244.4,78.2,Linear,Yellow,Temperate,Very High,Very High
250,300,90,80,3,5,1,1,2,2,1,2,4,4,0,261.7,84.2,Intermediate,Yellow,Temperate,Very High,Very High
300,250,80,90,5,3,1,1,2,2,2,1,4,4,0,272.9,85.4,Intermediate,Yellow,Temperate,Very High,Very High
250,300,90,80,3,5,1,1,2,2,1,2,4,4,0,272.2,82.8,Cordate,Yellow,Temperate,Very High,Very High
300,250,80,90,5,3,1,1,2,2,2,1,4,4,0,286.1,87.1,Linear,Yellow,Temperate,Very High,Very High
250,300,90,130,3,0,1,1,2,2,1,3,4,3,0,279.5,113.3,Ovate,Yellow,Temperate,Very High,Very High
300,250,130,90,0,3,1,1,2,2,3,1,3,4,0,263.2,116.8,Intermediate,Yellow,Temperate,Very High,Very High
250,300,90,130,3,0,1,1,2,2,1,3,4,3,0,257.4,106.3,Linear,Yellow,Temperate,Very High,Very High
300,250,130,90,0,3,1,1,2,2,3,1,3,4,0,269.5,111.8,Intermediate,Yellow,Temperate,Very High,Very High
250,300,90,130,3,0,1,1,2,2,1,3,4,3,0,268.5,109.8,Ovate,Yellow,Temperate,Very High,Very High
300,250,130,90,0,3,1,1,2,2,3,1,3,4,0,259.6,105.7,Intermediate,Yellow,Temperate,Very High,Very High
250,300,90,130,3,0,1,1,2,2,1,3,4,3,0,266.4,116.4,Ovate,Yellow,Temperate,Very High,Very High
300,250,130,90,0,3,1,1,2,2,3,1,3,4,0,263.6,99.7,Linear,Yellow,Temperate,Very High,Very High
250,300,90,130,3,0,1,1,2,2,1,3,4,3,0,279.3,105.8,Ovate,Yellow,Temperate,Very High,Very High
300,250,130,90,0,3,1,1,2,2,3,1,3,4,0,279.0,106.6,Intermediate,Yellow,Temperate,Very High,Very High
250,300,90,130,3,0,1,1,2,2,1,3,4,3,0,266.9,110.7,Intermediate,Yellow,Temperate,Very High,Very High
300,250,130,90,0,3,1,1,2,2,3,1,3,4,0,256.1,108.8,Ovate,Yellow,Temperate,Very High,Very High
250,300,90,130,3,0,1,1,2,2,1,3,4,3,0,269.4,109.1,Linear,Yellow,Temperate,Very High,Very High
300,250,130,90,0,3,1,1,2,2,3,1,3,4,0,297.8,109.4,Intermediate,Yellow,Temperate,Very High,Very High
250,300,90,130,3,0,1,1,2,2,1,3,4,3,0,258.8,118.5,Intermediate,Yellow,Temperate,Very High,Very High
300,250,130,90,0,3,1,1,2,2,3,1,3,4,0,269.2,112.9,Ovate,Yellow,Temperate,Very High,Very High
250,120,90,120,3,3,1,0,2,0,1,1,4,4,1,181.6,97.2,Linear,Yellow,Temperate,Moderate,Very High
120,250,120,90,3,3,0,1,0,2,1,1,4,4,1,183.9,105.3,Linear,Intermediate,Temperate,Moderate,Very High
250,120,90,120,3,3,1,0,2,0,1,1,4,4,1,181.4,106.1,Linear,Intermediate,Temperate,Moderate,Very High
120,250,120,90,3,3,0,1,0,2,1,1,4,4,1,201.7,98.5,Linear,Intermediate,Temperate,Moderate,Very High
250,120,90,120,3,3,1,0,2,0,1,1,4,4,1,187.9,113.7,Linear,Intermediate,Temperate,Moderate,Very High
120,250,120,90,3,3,0,1,0,2,1,1,4,4,1,194.5,117.9,Linear,Intermediate,Tropical,Moderate,Very High
250,120,90,120,3,3,1,0,2,0,1,1,4,4,1,187.0,102.7,Linear,White,Temperate,Moderate,Very High
120,250,120,90,3,3,0,1,0,2,1,1,4,4,1,189.0,106.6,Linear,White,Tropical,Moderate,Very High
250,120,90,120,3,3,1,0,2,0,1,1,4,4,1,181.6,100.8,Linear,White,Tropical,Moderate,Very High
120,250,120,90,3,3,0,1,0,2,1,1,4,4,1,188.1,108.0,Linear,White,Temperate,Moderate,Very High
250,120,90,120,3,3,1,0,2,0,1,1,4,4,1,169.2,107.0,Linear,Intermediate,Temperate,Moderate,Very High
120,250,120,90,3,3,0,1,0,2,1,1,4,4,1,180.4,103.6,Linear,Intermediate,Temperate,Moderate,Very High
250,120,90,120,3,3,1,0,2,0,1,1,4,4,1,193.5,106.8,Linear,White,Tropical,Moderate,Very High
120,250,120,90,3,3,0,1,0,2,1,1,4,4,1,181.0,114.7,Linear,White,Temperate,Moderate,Very High
250,120,90,120,3,3,1,0,2,0,1,1,4,4,1,188.3,100.7,Linear,White,Tropical,Moderate,Very High
120,250,120,90,3,3,0,1,0,2,1,1,4,4,1,188.4,108.4,Linear,Intermediate,Tropical,Moderate,Very High
250,100,90,110,3,3,1,0,2,0,1,2,4,3,1,167.9,104.6,Linear,White,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,0,2,2,1,3,4,1,178.2,97.5,Linear,White,Temperate,Very High,Very High
250,100,90,110,3,3,1,0,2,0,1,2,4,3,1,178.7,95.2,Linear,Intermediate,Tropical,Very High,Very High
100,250,110,90,3,3,0,1,0,2,2,1,3,4,1,178.0,100.5,Linear,Intermediate,Temperate,Very High,Very High
250,100,90,110,3,3,1,0,2,0,1,2,4,3,1,171.6,103.0,Linear,Yellow,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,0,2,2,1,3,4,1,189.6,100.7,Linear,Yellow,Tropical,Very High,Very High
250,100,90,110,3,3,1,0,2,0,1,2,4,3,1,167.1,101.5,Linear,Intermediate,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,0,2,2,1,3,4,1,184.9,99.0,Linear,Yellow,Tropical,Very High,Very High
250,100,90,110,3,3,1,0,2,0,1,2,4,3,1,187.9,95.8,Linear,Intermediate,Tropical,Very High,Very High
100,250,110,90,3,3,0,1,0,2,2,1,3,4,1,175.4,96.8,Linear,White,Tropical,Very High,Very High
250,100,90,110,3,3,1,0,2,0,1,2,4,3,1,171.2,100.5,Linear,Intermediate,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,0,2,2,1,3,4,1,181.7,104.2,Linear,White,Tropical,Very High,Very High
250,100,90,110,3,3,1,0,2,0,1,2,4,3,1,195.2,100.2,Linear,Yellow,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,0,2,2,1,3,4,1,182.2,96.8,Linear,Intermediate,Tropical,Very High,Very High
250,100,90,110,3,3,1,0,2,0,1,2,4,3,1,182.9,97.9,Linear,Yellow,Tropical,Very High,Very High
100,250,110,90,3,3,0,1,0,2,2,1,3,4,1,177.3,92.5,Linear,Yellow,Tropical,Very High,Very High
250,90,90,100,3,3,1,0,2,2,1,1,4,4,1,162.6,95.6,Linear,White,Temperate,Moderate,Very High
90,250,100,90,3,3,0,1,2,2,1,1,4,4,1,164.8,89.2,Linear,Intermediate,Temperate,Moderate,Very High
250,90,90,100,3,3,1,0,2,2,1,1,4,4,1,164.6,94.7,Linear,Intermediate,Temperate,Moderate,Very High
90,250,100,90,3,3,0,1,2,2,1,1,4,4,1,164.4,93.8,Linear,Intermediate,Temperate,Moderate,Very High
250,90,90,100,3,3,1,0,2,2,1,1,4,4,1,172.0,95.4,Linear,Yellow,Temperate,Moderate,Very High
90,250,100,90,3,3,0,1,2,2,1,1,4,4,1,171.1,89.9,Linear,Yellow,Temperate,Moderate,Very High
250,90,90,100,3,3,1,0,2,2,1,1,4,4,1,172.6,93.4,Linear,Intermediate,Temperate,Moderate,Very High
90,250,100,90,3,3,0,1,2,2,1,1,4,4,1,183.3,90.1,Linear,Intermediate,Temperate,Moderate,Very High
250,90,90,100,3,3,1,0,2,2,1,1,4,4,1,155.9,90.0,Linear,Intermediate,Temperate,Moderate,Very High
90,250,100,90,3,3,0,1,2,2,1,1,4,4,1,169.4,91.9,Linear,White,Temperate,Moderate,Very High
250,90,90,100,3,3,1,0,2,2,1,1,4,4,1,166.2,100.0,Linear,White,Temperate,Moderate,Very High
90,250,100,90,3,3,0,1,2,2,1,1,4,4,1,167.4,96.8,Linear,Intermediate,Temperate,Moderate,Very High
250,90,90,100,3,3,1,0,2,2,1,1,4,4,1,170.8,102.2,Linear,Intermediate,Temperate,Moderate,Very High
90,250,100,90,3,3,0,1,2,2,1,1,4,4,1,155.2,93.3,Linear,Intermediate,Temperate,Moderate,Very High
250,90,90,100,3,3,1,0,2,2,1,1,4,4,1,182.2,97.6,Linear,Intermediate,Temperate,Moderate,Very High
90,250,100,90,3,3,0,1,2,2,1,1,4,4,1,172.6,102.2,Linear,Intermediate,Temperate,Moderate,Very High
250,100,90,110,3,3,1,0,2,3,1,2,4,3,1,192.8,91.8,Linear,White,Mediterranean,Very High,Very High
100,250,110,90,3,3,0,1,3,2,2,1,3,4,1,169.6,96.1,Linear,Intermediate,Mediterranean,Very High,Very High
250,100,90,110,3,3,1,0,2,3,1,2,4,3,1,181.4,93.3,Linear,Intermediate,Mediterranean,Very High,Very High
100,250,110,90,3,3,0,1,3,2,2,1,3,4,1,159.1,103.0,Linear,Intermediate,Mediterranean,Very High,Very High
250,100,90,110,3,3,1,0,2,3,1,2,4,3,1,165.0,109.2,Linear,White,Mediterranean,Very High,Very High
100,250,110,90,3,3,0,1,3,2,2,1,3,4,1,181.0,102.7,Linear,Intermediate,Temperate,Very High,Very High
250,100,90,110,3,3,1,0,2,3,1,2,4,3,1,175.6,100.2,Linear,White,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,3,2,2,1,3,4,1,172.2,102.2,Linear,Yellow,Temperate,Very High,Very High
250,100,90,110,3,3,1,0,2,3,1,2,4,3,1,178.9,97.8,Linear,Yellow,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,3,2,2,1,3,4,1,177.9,101.9,Linear,Intermediate,Temperate,Very High,Very High
250,100,90,110,3,3,1,0,2,3,1,2,4,3,1,157.7,90.5,Linear,White,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,3,2,2,1,3,4,1,176.1,104.5,Linear,Intermediate,Mediterranean,Very High,Very High
250,100,90,110,3,3,1,0,2,3,1,2,4,3,1,179.4,100.7,Linear,Yellow,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,3,2,2,1,3,4,1,171.0,98.9,Linear,White,Mediterranean,Very High,Very High
250,100,90,110,3,3,1,0,2,3,1,2,4,3,1,176.2,101.1,Linear,Yellow,Temperate,Very High,Very High
100,250,110,90,3,3,0,1,3,2,2,1,3,4,1,176.4,92.0,Linear,Intermediate,Mediterranean,Very High,Very High
250,200,90,55,3,4,1,1,2,9,1,1,4,3,0,227.3,69.4,Linear,Yellow,Tropical/Temperate,Moderate,Very High
200,250,55,90,4,3,1,1,9,2,1,1,3,4,0,220.1,73.0,Linear,Yellow,Temperate,Moderate,Very High
250,200,90,55,3,4,1,1,2,9,1,1,4,3,0,225.6,73.9,Intermediate,Yellow,Tropical/Temperate,Moderate,Very High
200,250,55,90,4,3,1,1,9,2,1,1,3,4,0,227.3,68.9,Palmate,Yellow,Tropical/Temperate,Moderate,Very High
250,200,90,55,3,4,1,1,2,9,1,1,4,3,0,221.8,71.6,Linear,Yellow,Tropical/Temperate,Moderate,Very High
200,250,55,90,4,3,1,1,9,2,1,1,3,4,0,229.8,75.8,Intermediate,Yellow,Tropical/Temperate,Moderate,Very High
250,200,90,55,3,4,1,1,2,9,1,1,4,3,0,227.6,68.4,Palmate,Yellow,Tropical/Temperate,Moderate,Very High
200,250,55,90,4,3,1,1,9,2,1,1,3,4,0,214.2,74.8,Palmate,Yellow,Temperate,Moderate,Very High
250,200,90,55,3,4,1,1,2,9,1,1,4,3,0,230.9,69.8,Intermediate,Yellow,Temperate,Moderate,Very High
200,250,55,90,4,3,1,1,9,2,1,1,3,4,0,190.9,77.9,Palmate,Yellow,Tropical/Temperate,Moderate,Very High
250,200,90,55,3,4,1,1,2,9,1,1,4,3,0,229.4,74.5,Palmate,Yellow,Temperate,Moderate,Very High
200,250,55,90,4,3,1,1,9,2,1,1,3,4,0,236.7,75.2,Intermediate,Yellow,Tropical/Temperate,Moderate,Very High
250,200,90,55,3,4,1,1,2,9,1,1,4,3,0,241.9,73.1,Palmate,Yellow,Tropical/Temperate,Moderate,Very High
200,250,55,90,4,3,1,1,9,2,1,1,3,4,0,225.6,76.7,Intermediate,Yellow,Tropical/Temperate,Moderate,Very High
250,200,90,55,3,4,1,1,2,9,1,1,4,3,0,230.8,74.5,Linear,Yellow,Temperate,Moderate,Very High
200,250,55,90,4,3,1,1,9,2,1,1,3,4,0,245.9,70.1,Intermediate,Yellow,Temperate,Moderate,Very High
250,150,90,75,3,4,1,1,2,4,1,1,4,3,0,197.9,87.7,Linear,Yellow,Arid,Moderate,Very High
150,250,75,90,4,3,1,1,4,2,1,1,3,4,0,202.2,85.6,Palmate,Yellow,Arid,Moderate,Very High
250,150,90,75,3,4,1,1,2,4,1,1,4,3,0,221.2,84.3,Palmate,Yellow,Temperate,Moderate,Very High
150,250,75,90,4,3,1,1,4,2,1,1,3,4,0,189.2,82.6,Palmate,Yellow,Arid,Moderate,Very High
250,150,90,75,3,4,1,1,2,4,1,1,4,3,0,180.9,82.0,Palmate,Yellow,Temperate,Moderate,Very High
150,250,75,90,4,3,1,1,4,2,1,1,3,4,0,198.2,89.0,Intermediate,Yellow,Arid,Moderate,Very High
